,Product Name,Discount Price,Real Price,Discount,Sold
53,LivChic Sikat Pelurus Rambut Ionik 2- in -1 Sisir Gigi Cepat Pemanasan,Rp389.000,Rp670.000,42%,1 terjual
54,Livchic Volume Catok Curved Plate Pelurus Rambut Catokan LS306,Rp239.000,Rp594.000,60%,6 terjual
55,Livchic catokan hair dryer + Sisir Styling 2-in-1 Hot Air Comb Rambut,Rp469.000,Rp838.000,44%,7 terjual
56,Livchic Professional Deep Waver Iron Tourmaline Ceramic 32mm Rambut,Rp389.000,Rp754.000,48%,3 terjual
57,Usams PD30W Single Port Fast Chargnig X-ron Adapter Fast Charger,Rp109.000,Rp300.000,64%,21 terjual
58,USAMS Powerbank 10000mAh Fast Charge PD20W QC3.0 Dual Micro Port typec,Rp219.000,Rp650.000,66%,
59,Thinkplus Lenovo T50 True Wireless Bluetooth Earphone Sport TWS 5.2,Rp119.000,Rp399.000,70%,4rb+ terjual
60,USAMS T58 PD45W Fast Charger kabel charger Dual Port TYPEC+USB GaN,Rp179.000,Rp499.000,64%,17 terjual
61,USAMS PD30W Kepala Charger Fast Charger kabel charger QC3.0 TYPEC+USB,Rp109.000,Rp359.000,70%,50+ terjual
62,KiiP Wireless Y7 Bluetooth Speaker Portable TWS RGB LED HIFI SOUND,Rp199.000,Rp499.000,60%,22 terjual
63,USAMS Car Charger Fast Charge Mini 95W A+C Transparent Aluminum Alloy ,Rp89.000,Rp258.000,66%,90+ terjual
64,Baseus Foldable Wireless Bluetooth 5.3 ENC Wired Headset headphone,Rp389.000,Rp899.000,57%,
65,KiiP Wireless DTS10 Bluetooth Headphone Bone Conduction Earphone,Rp149.000,Rp599.000,75%,750+ terjual
66,Usams C32 Mini Car Fast Charger Mobil Transparent A+C 30W,Rp69.000,Rp259.000,73%,90+ terjual
67,Usams C31 Car Charger Mini Dual USB Transparent Fast Charge 3A,Rp39.000,Rp119.000,67%,70+ terjual
68,Thinkplus Lenovo GM2 Pro True Wireless Bluetooth Earphone TWS Headset,Rp132.000,Rp399.000,67%,2rb+ terjual
